attack(Bandit, Guard, Crossroads)
attack(Bandit, Guard, Market)
attack(Bandit, Merchant, Camp)
attack(Bandit, Merchant, Cottage)
attack(Bandit, Merchant, Crossroads)
attack(Bandit, Merchant, Market)
attack(Bandit, Player, Camp)
attack(Bandit, Player, Cottage)
attack(Bandit, Player, Crossroads)
attack(Bandit, Player, Market)
attack(Guard, Bandit, Camp)
attack(Guard, Bandit, Cottage)
attack(Guard, Bandit, Crossroads)
attack(Guard, Bandit, Market)
attack(Guard, Player, Camp)
attack(Guard, Player, Cottage)
attack(Guard, Player, Crossroads)
attack(Guard, Player, Market)
attack(Merchant, Bandit, Camp)
attack(Merchant, Bandit, Cottage)
attack(Merchant, Bandit, Crossroads)
attack(Merchant, Bandit, Market)
attack(Merchant, Player, Camp)
attack(Merchant, Player, Cottage)
attack(Merchant, Player, Crossroads)
attack(Merchant, Player, Market)
attack(Player, Bandit, Camp)
attack(Player, Bandit, Cottage)
attack(Player, Bandit, Crossroads)
attack(Player, Bandit, Market)
attack(Player, Guard, Camp)
attack(Player, Guard, Cottage)
attack(Player, Guard, Crossroads)
attack(Player, Guard, Market)
attack(Player, Merchant, Camp)
attack(Player, Merchant, Cottage)
attack(Player, Merchant, Crossroads)
attack(Player, Merchant, Market)
buy(Bandit, Medicine, Merchant, BanditCoin, Camp)
buy(Bandit, Medicine, Merchant, BanditCoin, Cottage)
buy(Bandit, Medicine, Merchant, BanditCoin, Crossroads)
buy(Bandit, Medicine, Merchant, BanditCoin, Market)
buy(Bandit, Medicine, Merchant, PlayerCoin, Camp)
buy(Bandit, Medicine, Merchant, PlayerCoin, Cottage)
buy(Bandit, Medicine, Merchant, PlayerCoin, Crossroads)
buy(Bandit, Medicine, Merchant, PlayerCoin, Market)
buy(Bandit, MerchantSword, Merchant, BanditCoin, Camp)
buy(Bandit, MerchantSword, Merchant, BanditCoin, Cottage)
buy(Bandit, MerchantSword, Merchant, BanditCoin, Crossroads)
buy(Bandit, MerchantSword, Merchant, BanditCoin, Market)
buy(Bandit, MerchantSword, Merchant, PlayerCoin, Camp)
buy(Bandit, MerchantSword, Merchant, PlayerCoin, Crossroads)
buy(Bandit, MerchantSword, Merchant, PlayerCoin, Market)
buy(Guard, MerchantSword, Merchant, BanditCoin, Camp)
buy(Guard, MerchantSword, Merchant, BanditCoin, Cottage)
buy(Guard, MerchantSword, Merchant, BanditCoin, Crossroads)
buy(Guard, MerchantSword, Merchant, BanditCoin, Market)
buy(Player, Medicine, Merchant, BanditCoin, Camp)
buy(Player, Medicine, Merchant, BanditCoin, Cottage)
buy(Player, Medicine, Merchant, BanditCoin, Crossroads)
buy(Player, Medicine, Merchant, BanditCoin, Market)
buy(Player, Medicine, Merchant, PlayerCoin, Camp)
buy(Player, Medicine, Merchant, PlayerCoin, Cottage)
buy(Player, Medicine, Merchant, PlayerCoin, Crossroads)
buy(Player, Medicine, Merchant, PlayerCoin, Market)
buy(Player, MerchantSword, Merchant, BanditCoin, Cottage)
buy(Player, MerchantSword, Merchant, BanditCoin, Crossroads)
buy(Player, MerchantSword, Merchant, PlayerCoin, Cottage)
buy(Player, MerchantSword, Merchant, PlayerCoin, Crossroads)
loot(Bandit, BanditCoin, Merchant, Camp)
loot(Bandit, BanditCoin, Merchant, Cottage)
loot(Bandit, BanditCoin, Merchant, Crossroads)
loot(Bandit, BanditCoin, Merchant, Market)
loot(Bandit, BanditCoin, Player, Camp)
loot(Bandit, BanditCoin, Player, Cottage)
loot(Bandit, BanditCoin, Player, Crossroads)
loot(Bandit, BanditCoin, Player, Market)
loot(Bandit, GuardSword, Guard, Crossroads)
loot(Bandit, GuardSword, Guard, Market)
loot(Bandit, GuardSword, Merchant, Camp)
loot(Bandit, GuardSword, Merchant, Cottage)
loot(Bandit, GuardSword, Merchant, Crossroads)
loot(Bandit, GuardSword, Merchant, Market)
loot(Bandit, Medicine, Merchant, Camp)
loot(Bandit, Medicine, Merchant, Cottage)
loot(Bandit, Medicine, Merchant, Crossroads)
loot(Bandit, Medicine, Merchant, Market)
loot(Bandit, Medicine, Player, Camp)
loot(Bandit, Medicine, Player, Crossroads)
loot(Bandit, Medicine, Player, Market)
loot(Bandit, MerchantSword, Merchant, Camp)
loot(Bandit, MerchantSword, Merchant, Crossroads)
loot(Bandit, MerchantSword, Merchant, Market)
loot(Bandit, PlayerCoin, Merchant, Camp)
loot(Bandit, PlayerCoin, Merchant, Cottage)
loot(Bandit, PlayerCoin, Merchant, Crossroads)
loot(Bandit, PlayerCoin, Merchant, Market)
loot(Bandit, PlayerCoin, Player, Camp)
loot(Bandit, PlayerCoin, Player, Cottage)
loot(Bandit, PlayerCoin, Player, Crossroads)
loot(Bandit, PlayerCoin, Player, Market)
loot(Guard, BanditCoin, Bandit, Camp)
loot(Guard, BanditCoin, Bandit, Cottage)
loot(Guard, BanditCoin, Bandit, Crossroads)
loot(Guard, BanditCoin, Bandit, Market)
loot(Guard, BanditSword, Bandit, Camp)
loot(Guard, BanditSword, Bandit, Cottage)
loot(Guard, BanditSword, Bandit, Crossroads)
loot(Guard, BanditSword, Bandit, Market)
loot(Guard, BanditSword, Merchant, Camp)
loot(Guard, BanditSword, Merchant, Cottage)
loot(Guard, BanditSword, Merchant, Crossroads)
loot(Guard, BanditSword, Merchant, Market)
loot(Guard, MerchantSword, Bandit, Camp)
loot(Guard, MerchantSword, Bandit, Cottage)
loot(Guard, MerchantSword, Bandit, Market)
loot(Guard, MerchantSword, Merchant, Camp)
loot(Guard, MerchantSword, Merchant, Cottage)
loot(Guard, MerchantSword, Merchant, Crossroads)
loot(Guard, MerchantSword, Merchant, Market)
loot(Guard, MerchantSword, Player, Market)
loot(Merchant, BanditCoin, Bandit, Camp)
loot(Merchant, BanditCoin, Bandit, Cottage)
loot(Merchant, BanditCoin, Bandit, Crossroads)
loot(Merchant, BanditCoin, Bandit, Market)
loot(Merchant, BanditCoin, Player, Camp)
loot(Merchant, BanditCoin, Player, Cottage)
loot(Merchant, BanditCoin, Player, Crossroads)
loot(Merchant, BanditCoin, Player, Market)
loot(Merchant, BanditSword, Bandit, Camp)
loot(Merchant, BanditSword, Bandit, Cottage)
loot(Merchant, BanditSword, Bandit, Crossroads)
loot(Merchant, BanditSword, Bandit, Market)
loot(Merchant, GuardSword, Guard, Camp)
loot(Merchant, GuardSword, Guard, Cottage)
loot(Merchant, GuardSword, Guard, Crossroads)
loot(Merchant, GuardSword, Guard, Market)
loot(Merchant, Medicine, Bandit, Camp)
loot(Merchant, Medicine, Bandit, Cottage)
loot(Merchant, Medicine, Bandit, Crossroads)
loot(Merchant, Medicine, Bandit, Market)
loot(Merchant, Medicine, Player, Camp)
loot(Merchant, Medicine, Player, Crossroads)
loot(Merchant, Medicine, Player, Market)
loot(Merchant, MerchantSword, Bandit, Camp)
loot(Merchant, MerchantSword, Bandit, Cottage)
loot(Merchant, MerchantSword, Bandit, Crossroads)
loot(Merchant, MerchantSword, Bandit, Market)
loot(Merchant, PlayerCoin, Bandit, Camp)
loot(Merchant, PlayerCoin, Bandit, Cottage)
loot(Merchant, PlayerCoin, Bandit, Crossroads)
loot(Merchant, PlayerCoin, Bandit, Market)
loot(Merchant, PlayerCoin, Player, Camp)
loot(Merchant, PlayerCoin, Player, Cottage)
loot(Merchant, PlayerCoin, Player, Crossroads)
loot(Merchant, PlayerCoin, Player, Market)
loot(Player, BanditCoin, Bandit, Camp)
loot(Player, BanditCoin, Bandit, Cottage)
loot(Player, BanditCoin, Bandit, Crossroads)
loot(Player, BanditCoin, Bandit, Market)
loot(Player, BanditCoin, Merchant, Camp)
loot(Player, BanditCoin, Merchant, Cottage)
loot(Player, BanditCoin, Merchant, Crossroads)
loot(Player, BanditCoin, Merchant, Market)
loot(Player, BanditSword, Bandit, Camp)
loot(Player, BanditSword, Bandit, Cottage)
loot(Player, BanditSword, Bandit, Crossroads)
loot(Player, BanditSword, Bandit, Market)
loot(Player, BanditSword, Merchant, Camp)
loot(Player, BanditSword, Merchant, Cottage)
loot(Player, BanditSword, Merchant, Crossroads)
loot(Player, BanditSword, Merchant, Market)
loot(Player, GuardSword, Bandit, Camp)
loot(Player, GuardSword, Bandit, Crossroads)
loot(Player, GuardSword, Bandit, Market)
